chr	start	end
Path1 : der(1)t(1;9)	1	231886865
Path4 : 1	1	242399227
Path5 : 2	1	242142984
Path6 : 2	1	245875817
Path7 : 3	1	198230596
Path8 : 3	1	198230596
Path10 : 4	1	190202564
Path9 : 4	1	190202564
Path11 : 5	1	181421368
Path12 : 5	1	194183615
Path13 : 6	1	170739897
Path14 : 6	1	170739897
Path15 : 7	1	159278702
Path16 : 7	1	159317088
Path17 : 8	1	145076125
Path18 : 8	1	145076125
Path2 : 9	1	138299745
Path3 : der(9)t(1;9)	1	161900315
Path19 : 10	1	133785264
Path20 : 10	1	133785264
Path21 : 11	1	134987455
Path22 : 11	1	142773243
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	114352102
Path26 : 13	1	114352102
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	84842473
Path30 : 15	1	85350410
Path31 : 16	1	90224751
Path32 : 16	1	90224751
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80256374
Path36 : 18	1	80256374
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	41674681
Path42 : 21	1	35771812
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : X	1	156025612
