chr	start	end
Path1 : 1	1	248943331
Path2 : 1	1	248943331
Path3 : 2	1	242129253
Path4 : der(2)t(2;3)	1	228755418
Path5 : der(3)t(2;3)	1	197262043
Path6 : der(3)t(2;3)	1	206455356
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	175214143
Path9 : 5	1	181425713
Path11 : 6	1	170654315
Path12 : 6	1	174905563
Path13 : 7	1	159334984
Path14 : 7	1	159334984
Path15 : 8	1	145076123
Path18 : der(8)t(8;12)	1	174011265
Path19 : 9	1	138334464
Path20 : 9	1	138334464
Path21 : 10	1	133728533
Path22 : 10	1	142590160
Path23 : 11	1	135069565
Path24 : 11	1	135069565
Path16 : der(12)t(8;12)	1	103730655
Path17 : der(12)t(8;12)	1	133862119
Path25 : 13	1	98310447
Path26 : 13	1	101316583
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	101976507
Path30 : 15	1	101976507
Path31 : 16	1	90224749
Path32 : 16	1	90224749
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80256371
Path36 : 18	1	80256371
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : Y	1	57212132
