chr	start	end
Path1 : 1	1	248914947
Path2 : 1	1	246320305
Path3 : 2	1	242181357
Path4 : 2	1	242181357
Path5 : 3	1	198177223
Path6 : 3	1	197421675
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	172721229
Path9 : 5	1	181408542
Path11 : 6	1	170739895
Path12 : 6	1	170739895
Path13 : 7	1	159306464
Path14 : 7	1	165064944
Path15 : 8	1	145076125
Path16 : 8	1	145076125
Path17 : 9	1	138302396
Path18 : 9	1	129175933
Path19 : 10	1	132562518
Path20 : der(10)t(10;11)	1	178920001
Path21 : 11	1	135069563
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	114352102
Path26 : 13	1	114352102
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	84903550
Path30 : 15	1	93918675
Path31 : 16	1	90224749
Path32 : 16	1	90224749
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80202379
Path36 : 18	1	73957016
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : X	1	156025612
Path22 : dic(10;11)	1	240616328
