file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,n_dummies,n_leftover_dummies,n_seg_changed,n_leftover_segchange,approximated_distance,n_approximated_edges,karsim_missed_transition,omkar_missed_transition,SV_missed,CNV_missed,log10_CNV_missed,event_chr,is_event_cluster,n_event_chr,unaccounted_CNV,log10_unaccounted_CNV
23X_15q26_overgrowth_r1,0,1,['Chr1'],2,2,64203,"[41160, 23043]",0,0,0,0,73199,6,0,0,0,33203,4.521177325408375,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,-39996,0.0
23X_15q26_overgrowth_r1,1,1,['Chr2'],2,2,188445274,"[188232388, 212886]",1,0,0,0,35593,4,1,3,4,188445268,8.275185236467022,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,188409675,8.275103200427282
23X_15q26_overgrowth_r1,10,1,['Chr11'],2,2,22574,"[15518, 7056]",0,0,0,0,34110,2,2,2,4,22570,4.353531559077762,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,-11540,0.0
23X_15q26_overgrowth_r1,11,1,['Chr12'],2,2,2696,"[1348, 1348]",0,0,0,0,22694,2,0,0,0,2696,3.4307198878632823,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,-19998,0.0
23X_15q26_overgrowth_r1,12,1,['Chr13'],2,2,183591686,"[96303080, 87288606]",0,0,0,0,14874,3,1,1,2,5292,3.7236198355154633,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,-9582,0.0
23X_15q26_overgrowth_r1,13,1,['Chr14'],2,2,20870,"[10435, 10435]",0,0,0,0,340868,2,0,0,0,20870,4.319522449065454,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,-319998,0.0
23X_15q26_overgrowth_r1,14,1,['Chr15'],2,2,153408633,"[153366646, 41987]",1,0,0,0,25674,2,2,7,9,153408619,8.185849760388617,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",True,1,153382945,8.185777072102088
23X_15q26_overgrowth_r1,15,1,['Chr16'],2,2,7186,"[3593, 3593]",0,0,0,0,227184,2,0,0,0,7186,3.8564872128686307,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,-219998,0.0
23X_15q26_overgrowth_r1,16,1,['Chr17'],2,2,2096,"[1048, 1048]",0,0,0,0,22094,2,0,0,0,2096,3.321391278311689,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,-19998,0.0
23X_15q26_overgrowth_r1,17,1,['Chr18'],2,2,13820,"[6910, 6910]",0,0,0,0,233818,2,0,0,0,13820,4.14050804303818,"['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",False,0,-219998,0.0
