0	1	14454	2	H	[1]
1	1	243490564.0	2	T	[0, 2]
2	1	243490565.0	3	H	[1, 3]
3	1	248943333.0	3	T	[2]
4	2	15925	2	H	[5]
5	2	59014090.0	2	T	[8, 4, 6]
6	2	59014091.0	1	H	[5, 7]
7	2	61597130.0	1	T	[8, 6]
8	2	61599878.0	2	H	[9, 5, 7]
9	2	186985902.75	2	T	[8, 10, 12]
10	2	186985903.75	2	H	[9, 11, 77]
11	2	193404433.5	2	T	[10, 12, 78]
12	2	193404434.5	2	H	[9, 11, 13]
13	2	242181356.0	2	T	[12]
14	3	0	2	H	[15]
15	3	198230596	2	T	[14]
16	4	12986	2	H	[17]
17	4	182704983.0	2	T	[16, 18]
18	4	182704984.0	3	H	[17, 19]
19	4	190202564.0	3	T	[18, 19]
20	5	19315.0	2	H	[21]
21	5	97341259.75	2	T	[46, 20, 22]
22	5	97341260.75	2	H	[47, 21, 23]
23	5	177581476.0	2	T	[24, 22]
24	5	177581477.0	1	H	[25, 23]
25	5	181301991.0	1	T	[24, 26]
26	5	181301992	2	H	[25, 27]
27	5	181472713	2	T	[26]
28	6	76217	2	H	[29]
29	6	84572488.0	2	T	[28, 30]
30	6	84572489.0	3	H	[29, 31]
31	6	87970506.0	3	T	[32, 37, 30]
32	6	87970507.0	3	H	[33, 31]
33	6	88150560.0	3	T	[32, 34]
34	6	88159278.0	4	H	[33, 34, 35]
35	6	90221573.0	4	T	[34, 36]
36	6	90221574.0	2	H	[35, 37]
37	6	90470603.0	2	T	[36, 38, 31]
38	6	90470604.0	2	H	[37, 39]
39	6	170739896.0	2	T	[38]
40	7	0.0	2	H	[41]
41	7	12447844.5	2	T	[40, 42, 50]
42	7	12447845.5	2	H	[41, 43, 49]
43	7	17957661.0	2	T	[42, 44, 52]
44	7	17957662.0	2	H	[51, 43, 45]
45	7	109892831.0	2	T	[48, 44, 46]
46	7	109892832.0	2	H	[21, 45, 47]
47	7	118106676.25	2	T	[48, 46, 22]
48	7	118106677.25	2	H	[49, 45, 47]
49	7	129388200.25	2	T	[48, 50, 42]
50	7	129388201.25	2	H	[49, 51, 41]
51	7	136043025.5	2	T	[50, 52, 44]
52	7	136043026.5	2	H	[43, 51, 53]
53	7	159334984.0	2	T	[52]
54	8	0	2	H	[55]
55	8	145076125	2	T	[54]
56	9	0	2	H	[57]
57	9	138334464	2	T	[56]
58	10	0.0	2	H	[59]
59	10	46991592.0	2	T	[58, 60, 61]
60	10	46991593.0	2	H	[59, 61]
61	10	48060267.0	2	T	[59, 60, 62]
62	10	48060268.0	2	H	[61, 63]
63	10	105451565.0	2	T	[64, 66, 62]
64	10	105451566.0	2	H	[65, 71, 63]
65	10	108904199.5	2	T	[64, 66, 72]
66	10	108904200.5	2	H	[65, 67, 63]
67	10	133785266.0	2	T	[66]
68	11	0	2	H	[69]
69	11	135069565	2	T	[68]
70	12	0.0	2	H	[71]
71	12	49331762.25	2	T	[72, 64, 70]
72	12	49331763.25	2	H	[65, 73, 71]
73	12	133263960.0	2	T	[72]
74	13	0	2	H	[75]
75	13	114352102	2	T	[74]
76	14	0.0	2	H	[77]
77	14	67602151.5	2	T	[10, 76, 78]
78	14	67602152.5	2	H	[11, 77, 79]
79	14	106873282.0	2	T	[78]
80	15	0.0	2	H	[81]
81	15	30766282.0	2	T	[80, 82]
82	15	30766283.0	2	H	[81, 83, 84]
83	15	31639515.0	2	T	[82, 84]
84	15	31639516.0	2	H	[82, 83, 85]
85	15	101976509.0	2	T	[84]
86	16	0	2	H	[87]
87	16	90224751	2	T	[86]
88	17	0	2	H	[89]
89	17	83246392	2	T	[88]
90	18	18869	2	H	[91]
91	18	62929303.0	2	T	[90, 92, 94]
92	18	62929304.0	1	H	[91, 93]
93	18	70306897.0	1	T	[92, 94]
94	18	70313651	2	H	[91, 93, 95]
95	18	80256373	2	T	[94]
96	19	0	2	H	[97]
97	19	58605715	2	T	[96]
98	20	0	2	H	[99]
99	20	64333718	2	T	[98]
100	21	0	2	H	[101]
101	21	46697230	2	T	[100]
102	22	0	2	H	[103]
103	22	50805587	2	T	[102]
104	23	0	1	H	[105]
105	23	156025612	1	T	[104]
106	24	0	1	H	[107]
107	24	57212132	1	T	[106]
