(0, 1, 2, 'S')
(2, 3, 2, 'S')
(3, 4, 0, 'R')
(4, 5, 1, 'S')
(5, 6, 0, 'R')
(6, 7, 2, 'S')
(7, 8, 0, 'R')
(9, 8, 1, 'S')
(9, 10, 0, 'R')
(10, 11, 1, 'S')
(11, 12, 0, 'R')
(13, 12, 2, 'S')
(13, 14, 0, 'R')
(15, 14, 2, 'S')
(15, 16, 0, 'R')
(16, 17, 2, 'S')
(18, 19, 2, 'S')
(20, 21, 2, 'S')
(21, 22, 0, 'R')
(22, 23, 1, 'S')
(24, 25, 2, 'S')
(26, 27, 2, 'S')
(28, 29, 2, 'S')
(30, 31, 2, 'S')
(32, 33, 2, 'S')
(33, 34, 0, 'R')
(34, 35, 3, 'S')
(35, 36, 0, 'R')
(36, 37, 2, 'S')
(37, 38, 0, 'R')
(38, 39, 3, 'S')
(39, 40, 0, 'R')
(40, 41, 3, 'S')
(41, 42, 0, 'R')
(42, 43, 2, 'S')
(44, 45, 2, 'S')
(45, 46, 0, 'R')
(46, 47, 1, 'S')
(47, 48, 0, 'R')
(48, 49, 2, 'S')
(50, 51, 2, 'S')
(51, 52, 0, 'R')
(52, 53, 1, 'S')
(53, 54, 0, 'R')
(55, 54, 2, 'S')
(55, 56, 0, 'R')
(57, 56, 2, 'S')
(57, 58, 0, 'R')
(58, 59, 2, 'S')
(61, 60, 2, 'S')
(61, 62, 0, 'R')
(62, 63, 2, 'S')
(65, 64, 2, 'S')
(65, 66, 0, 'R')
(66, 67, 2, 'S')
(67, 68, 0, 'R')
(68, 69, 3, 'S')
(69, 70, 0, 'R')
(71, 70, 2, 'S')
(71, 72, 0, 'R')
(73, 72, 2, 'S')
(73, 74, 0, 'R')
(75, 74, 2, 'S')
(75, 76, 0, 'R')
(76, 77, 2, 'S')
(78, 79, 2, 'S')
(81, 80, 2, 'S')
(81, 82, 0, 'R')
(83, 82, 2, 'S')
(83, 84, 0, 'R')
(84, 85, 2, 'S')
(87, 86, 2, 'S')
(87, 88, 0, 'R')
(89, 88, 2, 'S')
(89, 90, 0, 'R')
(90, 91, 2, 'S')
(92, 93, 2, 'S')
(94, 95, 2, 'S')
(96, 97, 2, 'S')
(99, 98, 2, 'S')
(99, 100, 0, 'R')
(101, 100, 2, 'S')
(101, 102, 0, 'R')
(102, 103, 2, 'S')
(104, 105, 2, 'S')
(106, 107, 2, 'S')
(108, 109, 1, 'S')
(110, 111, 1, 'S')
(3, 6, 0, 'SV')
(9, 12, 0, 'SV')
(13, 15, 0, 'SV')
(14, 16, 0, 'SV')
(51, 54, 0, 'SV')
(57, 102, 0, 'SV')
(58, 101, 0, 'SV')
(55, 100, 0, 'SV')
(56, 99, 0, 'SV')
(61, 74, 0, 'SV')
(62, 75, 0, 'SV')
(66, 72, 0, 'SV')
(69, 69, 0, 'SV')
(73, 76, 0, 'SV')
(82, 84, 0, 'SV')
(87, 89, 0, 'SV')
