chr	start	end
Path1 : 1	1	248943331
Path2 : 1	1	248943331
Path3 : 2	1	242158090
Path6 : der(2)t(2;5)	1	242160578
Path8 : 3	1	198230592
Path9 : 3	1	198230592
Path10 : 4	1	190202564
Path11 : 4	1	190202564
Path4 : der(5)t(2;5)	1	183579639
Path5 : 5	1	181422977
Path12 : 6	1	169821055
Path13 : 7	1	159334983
Path16 : der(7)t(7;13)	1	107084208
Path17 : 8	1	144993275
Path18 : 8	1	144993275
Path20 : 9	1	138289479
Path21 : 9	1	95276097
Path22 : 10	1	133754576
Path25 : der(10)t(10;12)	1	148658420
Path26 : 11	1	135069565
Path27 : 11	1	135069565
Path23 : 12	1	124312588
Path24 : der(12)t(10;12)	1	126476727
Path14 : der(13)t(7;13)	1	172373111
Path15 : 13	1	108581864
Path28 : 14	1	106873282
Path29 : 14	1	106873282
Path30 : 15	1	101976507
Path31 : 15	1	101976507
Path32 : 16	1	90224751
Path33 : 16	1	90224751
Path34 : 17	1	83246392
Path35 : 17	1	83246392
Path36 : 18	1	80256374
Path37 : 18	1	80256374
Path38 : 19	1	58605715
Path39 : 19	1	58605715
Path40 : 20	1	64245018
Path41 : 20	1	70016027
Path42 : 21	1	46697230
Path43 : 21	1	46697230
Path44 : 22	1	50805587
Path45 : 22	1	50805587
Path46 : X	1	155988527
Path47 : X	1	154263911
Path7 : 2	1	4995770
Path19 : 8	1	6909775
