chr	start	end
Path1 : 1	1	248917542
Path2 : 1	1	250162205
Path3 : 2	1	242122760
Path4 : 2	1	241429114
Path5 : 3	1	198133011
Path8 : der(3)t(3;6)	1	203644071
Path10 : 4	1	190202562
Path9 : 4	1	190202562
Path11 : 5	1	181472714
Path12 : 5	1	181472714
Path6 : 6	1	170739895
Path7 : 6	1	170739895
Path13 : 7	1	159334984
Path14 : 7	1	159334984
Path15 : 8	1	144993612
Path16 : 8	1	146273226
Path17 : 9	1	138334464
Path18 : 9	1	138334464
Path19 : 10	1	133785266
Path20 : 10	1	133785266
Path21 : 11	1	135069563
Path22 : 11	1	135069563
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	114352102
Path26 : 13	1	114352102
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	101976507
Path30 : 15	1	101976507
Path31 : 16	1	90182084
Path32 : 16	1	91289220
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80201973
Path36 : 18	1	81968208
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	41669969
Path42 : 21	1	42158113
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	155990828
Path46 : X	1	157683635
