chr	start	end
Path1 : 1	1	248916880
Path2 : 1	1	255795403
Path3 : 2	1	242181353
Path4 : 2	1	242181353
Path5 : 3	1	198230596
Path6 : 3	1	198230596
Path7 : 4	1	190202564
Path8 : 4	1	190202564
Path10 : 5	1	181472714
Path9 : 5	1	181472714
Path11 : 6	1	169816883
Path12 : 6	1	169816883
Path13 : 6	1	169821042
Path14 : 7	1	159334984
Path15 : 7	1	159334984
Path16 : 8	1	145004677
Path17 : 8	1	137893971
Path18 : 9	1	138334461
Path19 : 9	1	141945276
Path20 : 10	1	133785264
Path21 : 10	1	133785264
Path22 : 11	1	134968700
Path23 : 11	1	143962788
Path24 : 12	1	133208935
Path25 : 12	1	127031023
Path26 : 13	1	114352102
Path27 : 13	1	114352102
Path28 : 14	1	106873282
Path29 : 14	1	106873282
Path30 : 15	1	101976509
Path31 : 15	1	101976509
Path32 : 16	1	90224749
Path33 : 16	1	90224749
Path34 : 17	1	83246392
Path35 : 17	1	83246392
Path36 : 18	1	80215428
Path37 : 18	1	91874311
Path38 : 19	1	58605715
Path39 : 19	1	58605715
Path40 : 20	1	64333718
Path41 : 20	1	64333718
Path42 : 21	1	46697230
Path43 : 21	1	46697230
Path44 : 22	1	40272780
Path45 : 22	1	38254238
Path46 : X	1	156025612
Path47 : X	1	156025612
